AREAGEOGRAFICA,Hombres_0,Hombres_1,Hombres_2,Hombres_3,Hombres_4,Hombres_5,Hombres_6,Hombres_7,Hombres_8,Hombres_9,Hombres_10,Hombres_11,Hombres_12,Hombres_13,Hombres_14,Hombres_15,Hombres_16,Hombres_17,Hombres_18,Hombres_19,Hombres_20,Hombres_21,Hombres_22,Hombres_23,Hombres_24,Hombres_25,Hombres_26,Hombres_27,Hombres_28,Hombres_29,Hombres_30,Hombres_31,Hombres_32,Hombres_33,Hombres_34,Hombres_35,Hombres_36,Hombres_37,Hombres_38,Hombres_39,Hombres_40,Hombres_41,Hombres_42,Hombres_43,Hombres_44,Hombres_45,Hombres_46,Hombres_47,Hombres_48,Hombres_49,Hombres_50,Hombres_51,Hombres_52,Hombres_53,Hombres_54,Hombres_55,Hombres_56,Hombres_57,Hombres_58,Hombres_59,Hombres_60,Hombres_61,Hombres_62,Hombres_63,Hombres_64,Hombres_65,Hombres_66,Hombres_67,Hombres_68,Hombres_69,Hombres_70,Hombres_71,Hombres_72,Hombres_73,Hombres_74,Hombres_75,Hombres_76,Hombres_77,Hombres_78,Hombres_79,Hombres_80,Hombres_81,Hombres_82,Hombres_83,Hombres_84,Hombres_85,Hombres_86,Hombres_87,Hombres_88,Hombres_89,Hombres_90,Hombres_91,Hombres_92,Hombres_93,Hombres_94,Hombres_95,Hombres_96,Hombres_97,Hombres_98,Hombres_99,Hombres_100,Mujeres_0,Mujeres_1,Mujeres_2,Mujeres_3,Mujeres_4,Mujeres_5,Mujeres_6,Mujeres_7,Mujeres_8,Mujeres_9,Mujeres_10,Mujeres_11,Mujeres_12,Mujeres_13,Mujeres_14,Mujeres_15,Mujeres_16,Mujeres_17,Mujeres_18,Mujeres_19,Mujeres_20,Mujeres_21,Mujeres_22,Mujeres_23,Mujeres_24,Mujeres_25,Mujeres_26,Mujeres_27,Mujeres_28,Mujeres_29,Mujeres_30,Mujeres_31,Mujeres_32,Mujeres_33,Mujeres_34,Mujeres_35,Mujeres_36,Mujeres_37,Mujeres_38,Mujeres_39,Mujeres_40,Mujeres_41,Mujeres_42,Mujeres_43,Mujeres_44,Mujeres_45,Mujeres_46,Mujeres_47,Mujeres_48,Mujeres_49,Mujeres_50,Mujeres_51,Mujeres_52,Mujeres_53,Mujeres_54,Mujeres_55,Mujeres_56,Mujeres_57,Mujeres_58,Mujeres_59,Mujeres_60,Mujeres_61,Mujeres_62,Mujeres_63,Mujeres_64,Mujeres_65,Mujeres_66,Mujeres_67,Mujeres_68,Mujeres_69,Mujeres_70,Mujeres_71,Mujeres_72,Mujeres_73,Mujeres_74,Mujeres_75,Mujeres_76,Mujeres_77,Mujeres_78,Mujeres_79,Mujeres_80,Mujeres_81,Mujeres_82,Mujeres_83,Mujeres_84,Mujeres_85,Mujeres_86,Mujeres_87,Mujeres_88,Mujeres_89,Mujeres_90,Mujeres_91,Mujeres_92,Mujeres_93,Mujeres_94,Mujeres_95,Mujeres_96,Mujeres_97,Mujeres_98,Mujeres_99,Mujeres_100,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_10,Total_11,Total_12,Total_13,Total_14,Total_15,Total_16,Total_17,Total_18,Total_19,Total_20,Total_21,Total_22,Total_23,Total_24,Total_25,Total_26,Total_27,Total_28,Total_29,Total_30,Total_31,Total_32,Total_33,Total_34,Total_35,Total_36,Total_37,Total_38,Total_39,Total_40,Total_41,Total_42,Total_43,Total_44,Total_45,Total_46,Total_47,Total_48,Total_49,Total_50,Total_51,Total_52,Total_53,Total_54,Total_55,Total_56,Total_57,Total_58,Total_59,Total_60,Total_61,Total_62,Total_63,Total_64,Total_65,Total_66,Total_67,Total_68,Total_69,Total_70,Total_71,Total_72,Total_73,Total_74,Total_75,Total_76,Total_77,Total_78,Total_79,Total_80,Total_81,Total_82,Total_83,Total_84,Total_85,Total_86,Total_87,Total_88,Total_89,Total_90,Total_91,Total_92,Total_93,Total_94,Total_95,Total_96,Total_97,Total_98,Total_99,Total_100,Total Hombres,Total Mujeres,Total general
Total,14459,14545,14649,14769,14860,14910,15431,16088,16255,16712,16763,16792,16807,16799,16785,16743,16702,16628,16513,16353,16171,15935,15703,15468,15273,15094,14946,14801,14675,14544,14404,14278,14164,14068,13885,13658,13402,13108,12816,12549,12344,12173,12031,11914,11806,11657,11491,11292,11083,10852,10645,10450,10273,10117,10033,9991,9921,9805,9653,9468,9250,9008,8751,8482,8160,7807,7441,7092,6746,6393,6053,5693,5296,4875,4490,4098,3767,3518,3322,3110,2919,2688,2418,2145,1894,1645,1430,1230,1048,891,747,627,522,427,350,281,221,175,136,102,280,13791,13874,13971,14085,14178,14253,14761,15385,15549,15787,15846,15878,15908,15913,15914,15905,15869,15801,15690,15555,15402,15254,15126,15050,15017,15010,15018,15010,14998,14954,14868,14776,14696,14589,14423,14195,13949,13700,13433,13218,13051,12910,12777,12650,12538,12380,12206,12005,11786,11535,11294,11081,10872,10699,10591,10533,10456,10305,10129,9926,9680,9429,9178,8936,8638,8299,7951,7596,7242,6883,6530,6150,5749,5321,4920,4516,4170,3909,3699,3477,3274,3030,2743,2456,2172,1912,1668,1441,1248,1063,902,763,638,526,435,354,284,226,177,137,403,28250,28419,28620,28854,29038,29163,30192,31473,31804,32499,32609,32670,32715,32712,32699,32648,32571,32429,32203,31908,31573,31189,30829,30518,30290,30104,29964,29811,29673,29498,29272,29054,28860,28657,28308,27853,27351,26808,26249,25767,25395,25083,24808,24564,24344,24037,23697,23297,22869,22387,21939,21531,21145,20816,20624,20524,20377,20110,19782,19394,18930,18437,17929,17418,16798,16106,15392,14688,13988,13276,12583,11843,11045,10196,9410,8614,7937,7427,7021,6587,6193,5718,5161,4601,4066,3557,3098,2671,2296,1954,1649,1390,1160,953,785,635,505,401,313,239,683,971032,984448,1955480
Cabecera,6210,6319,6440,6565,6697,6820,6921,7238,7630,7784,8083,8183,8272,8343,8405,8460,8490,8505,8486,8435,8364,8274,8169,8076,7985,7931,7882,7842,7794,7743,7673,7587,7503,7444,7394,7292,7163,6999,6775,6530,6296,6098,5928,5810,5723,5648,5550,5458,5368,5284,5192,5117,5040,4960,4878,4842,4818,4777,4708,4612,4501,4367,4224,4077,3925,3748,3555,3351,3141,2930,2720,2524,2334,2153,1969,1799,1633,1488,1378,1286,1192,1111,1003,898,784,679,582,496,424,350,298,243,199,163,133,108,80,66,52,40,129,5866,5980,6093,6223,6353,6479,6593,6912,7289,7452,7651,7759,7857,7948,8027,8101,8153,8184,8193,8186,8159,8136,8107,8085,8092,8123,8166,8211,8225,8222,8197,8130,8069,8043,8025,7958,7860,7728,7552,7335,7158,7000,6873,6791,6732,6682,6600,6520,6445,6352,6246,6148,6058,5954,5862,5801,5775,5728,5639,5531,5397,5248,5089,4931,4784,4601,4403,4180,3946,3709,3468,3237,3007,2806,2586,2382,2172,1999,1864,1757,1638,1535,1406,1264,1120,986,854,738,627,536,453,378,314,265,207,173,139,108,83,67,210,12076,12299,12533,12788,13050,13299,13514,14150,14919,15236,15734,15942,16129,16291,16432,16561,16643,16689,16679,16621,16523,16410,16276,16161,16077,16054,16048,16053,16019,15965,15870,15717,15572,15487,15419,15250,15023,14727,14327,13865,13454,13098,12801,12601,12455,12330,12150,11978,11813,11636,11438,11265,11098,10914,10740,10643,10593,10505,10347,10143,9898,9615,9313,9008,8709,8349,7958,7531,7087,6639,6188,5761,5341,4959,4555,4181,3805,3487,3242,3043,2830,2646,2409,2162,1904,1665,1436,1234,1051,886,751,621,513,428,340,281,219,174,135,107,339,476946,516284,993230
Centros Poblados y Rural Disperso,8068,8053,8031,8021,8021,8000,7960,8170,8443,8463,8623,8578,8521,8466,8397,8327,8245,8165,8072,7961,7827,7702,7549,7404,7265,7140,7033,6947,6876,6825,6784,6749,6720,6675,6635,6559,6465,6376,6306,6262,6229,6222,6221,6195,6165,6132,6078,6002,5892,5764,5623,5489,5369,5269,5190,5140,5116,5081,5030,4969,4890,4802,4698,4584,4462,4312,4148,3980,3836,3696,3546,3398,3225,3006,2768,2552,2326,2138,1994,1883,1760,1643,1516,1350,1193,1051,905,783,663,566,471,393,327,268,214,171,139,103,79,58,132,7752,7727,7709,7688,7683,7657,7629,7823,8074,8081,8124,8078,8012,7954,7881,7804,7724,7619,7501,7363,7235,7100,6982,6886,6819,6772,6738,6718,6711,6717,6710,6702,6676,6627,6539,6441,6310,6197,6122,6070,6032,6020,6006,5954,5884,5821,5744,5649,5522,5395,5250,5105,4980,4872,4792,4741,4708,4674,4611,4539,4468,4368,4274,4176,4079,3959,3815,3685,3560,3438,3317,3189,3036,2833,2623,2424,2228,2054,1923,1813,1703,1597,1477,1330,1186,1037,913,789,679,584,490,413,348,281,236,189,149,120,93,68,182,15820,15780,15740,15709,15704,15657,15589,15993,16517,16544,16747,16656,16533,16420,16278,16131,15969,15784,15573,15324,15062,14802,14531,14290,14084,13912,13771,13665,13587,13542,13494,13451,13396,13302,13174,13000,12775,12573,12428,12332,12261,12242,12227,12149,12049,11953,11822,11651,11414,11159,10873,10594,10349,10141,9982,9881,9824,9755,9641,9508,9358,9170,8972,8760,8541,8271,7963,7665,7396,7134,6863,6587,6261,5839,5391,4976,4554,4192,3917,3696,3463,3240,2993,2680,2379,2088,1818,1572,1342,1150,961,806,675,549,450,360,288,223,172,126,314,499889,474380,974269
Total,14278,14372,14471,14586,14718,14820,14881,15408,16073,16247,16706,16761,16793,16809,16802,16787,16735,16670,16558,16396,16191,15976,15718,15480,15250,15071,14915,14789,14670,14568,14457,14336,14223,14119,14029,13851,13628,13375,13081,12792,12525,12320,12149,12005,11888,11780,11628,11460,11260,11048,10815,10606,10409,10229,10068,9982,9934,9858,9738,9581,9391,9169,8922,8661,8387,8060,7703,7331,6977,6626,6266,5922,5559,5159,4737,4351,3959,3626,3372,3169,2952,2754,2519,2248,1977,1730,1487,1279,1087,916,769,636,526,431,347,279,219,169,131,98,261,13618,13707,13802,13911,14036,14136,14222,14735,15363,15533,15775,15837,15869,15902,15908,15905,15877,15803,15694,15549,15394,15236,15089,14971,14911,14895,14904,14929,14936,14939,14907,14832,14745,14670,14564,14399,14170,13925,13674,13405,13190,13020,12879,12745,12616,12503,12344,12169,11967,11747,11496,11253,11038,10826,10654,10542,10483,10402,10250,10070,9865,9616,9363,9107,8863,8560,8218,7865,7506,7147,6785,6426,6043,5639,5209,4806,4400,4053,3787,3570,3341,3132,2883,2594,2306,2023,1767,1527,1306,1120,943,791,662,546,443,362,288,228,176,135,392,27896,28079,28273,28497,28754,28956,29103,30143,31436,31780,32481,32598,32662,32711,32710,32692,32612,32473,32252,31945,31585,31212,30807,30451,30161,29966,29819,29718,29606,29507,29364,29168,28968,28789,28593,28250,27798,27300,26755,26197,25715,25340,25028,24750,24504,24283,23972,23629,23227,22795,22311,21859,21447,21055,20722,20524,20417,20260,19988,19651,19256,18785,18285,17768,17250,16620,15921,15196,14483,13773,13051,12348,11602,10798,9946,9157,8359,7679,7159,6739,6293,5886,5402,4842,4283,3753,3254,2806,2393,2036,1712,1427,1188,977,790,641,507,397,307,233,653,976835,990664,1967499
Cabecera,6116,6227,6350,6472,6600,6741,6864,6967,7293,7681,7843,8140,8241,8321,8394,8453,8497,8506,8493,8444,8373,8271,8176,8071,7980,7907,7857,7813,7774,7725,7672,7601,7519,7462,7408,7354,7251,7104,6901,6653,6408,6176,5989,5858,5756,5676,5599,5513,5438,5360,5277,5190,5105,5017,4924,4850,4806,4775,4725,4644,4547,4426,4292,4150,4002,3845,3664,3463,3241,3025,2816,2608,2422,2256,2079,1895,1731,1562,1418,1304,1212,1122,1025,934,821,707,611,515,441,361,306,249,202,164,134,107,79,65,50,39,121,5767,5883,5998,6125,6252,6393,6515,6636,6958,7337,7503,7698,7811,7902,7996,8072,8128,8164,8170,8165,8134,8109,8075,8043,8026,8042,8080,8125,8156,8163,8163,8126,8075,8046,8047,8013,7951,7828,7654,7446,7238,7055,6912,6825,6763,6704,6647,6575,6515,6432,6343,6241,6135,6030,5915,5820,5765,5727,5676,5582,5460,5333,5175,5017,4863,4708,4529,4310,4074,3834,3591,3355,3133,2942,2733,2516,2306,2104,1927,1795,1678,1562,1449,1325,1180,1044,901,779,663,559,476,394,324,275,214,175,142,108,84,67,203,11883,12110,12348,12597,12852,13134,13379,13603,14251,15018,15346,15838,16052,16223,16390,16525,16625,16670,16663,16609,16507,16380,16251,16114,16006,15949,15937,15938,15930,15888,15835,15727,15594,15508,15455,15367,15202,14932,14555,14099,13646,13231,12901,12683,12519,12380,12246,12088,11953,11792,11620,11431,11240,11047,10839,10670,10571,10502,10401,10226,10007,9759,9467,9167,8865,8553,8193,7773,7315,6859,6407,5963,5555,5198,4812,4411,4037,3666,3345,3099,2890,2684,2474,2259,2001,1751,1512,1294,1104,920,782,643,526,439,348,282,221,173,134,106,324,478612,517982,996594
Centros Poblados y Rural Disperso,7974,7966,7949,7938,7936,7938,7925,7893,8100,8382,8400,8564,8520,8475,8418,8349,8282,8197,8107,7999,7863,7727,7584,7427,7285,7143,7035,6946,6883,6834,6806,6784,6758,6715,6671,6639,6569,6495,6447,6402,6361,6325,6307,6267,6223,6185,6154,6084,5990,5866,5736,5587,5459,5348,5258,5168,5121,5097,5066,5022,4958,4884,4791,4682,4564,4439,4290,4128,3972,3829,3682,3523,3360,3161,2935,2697,2474,2250,2059,1916,1797,1664,1557,1409,1253,1099,953,815,691,588,485,405,331,271,217,169,139,102,76,57,123,7672,7652,7638,7618,7610,7604,7589,7561,7758,8009,8018,8067,8017,7961,7900,7827,7749,7648,7527,7390,7257,7120,6998,6894,6807,6747,6710,6690,6697,6711,6724,6741,6723,6671,6597,6526,6423,6317,6244,6201,6138,6105,6077,6022,5949,5877,5820,5732,5617,5496,5364,5214,5074,4964,4865,4786,4727,4703,4670,4610,4548,4467,4374,4275,4171,4076,3949,3822,3699,3576,3455,3325,3182,2988,2789,2574,2379,2174,2001,1862,1755,1635,1533,1402,1257,1105,969,839,722,612,518,432,361,292,246,192,154,122,94,68,178,15646,15618,15587,15556,15546,15542,15514,15454,15858,16391,16418,16631,16537,16436,16318,16176,16031,15845,15634,15389,15120,14847,14582,14321,14092,13890,13745,13636,13580,13545,13530,13525,13481,13386,13268,13165,12992,12812,12691,12603,12499,12430,12384,12289,12172,12062,11974,11816,11607,11362,11100,10801,10533,10312,10123,9954,9848,9800,9736,9632,9506,9351,9165,8957,8735,8515,8239,7950,7671,7405,7137,6848,6542,6149,5724,5271,4853,4424,4060,3778,3552,3299,3090,2811,2510,2204,1922,1654,1413,1200,1003,837,692,563,463,361,293,224,170,125,301,503744,478595,982339
Total,14090,14193,14299,14410,14536,14679,14789,14860,15393,16063,16243,16704,16761,16796,16812,16802,16779,16703,16600,16443,16236,15998,15760,15498,15265,15050,14892,14759,14657,14559,14478,14385,14277,14177,14079,13993,13820,13599,13348,13055,12769,12501,12296,12125,11979,11861,11753,11597,11428,11226,11013,10777,10564,10365,10182,10018,9927,9872,9791,9666,9505,9310,9083,8832,8566,8284,7954,7591,7213,6854,6498,6131,5782,5417,5014,4592,4205,3812,3477,3220,3009,2786,2582,2343,2074,1806,1564,1330,1132,949,791,654,533,435,351,276,218,167,126,96,244,13439,13535,13636,13743,13862,13997,14104,14197,14716,15346,15521,15765,15828,15863,15896,15899,15877,15812,15697,15555,15391,15229,15073,14937,14833,14789,14790,14815,14853,14874,14887,14867,14798,14717,14644,14539,14374,14145,13898,13647,13376,13160,12989,12847,12712,12581,12467,12307,12132,11928,11707,11455,11209,10994,10780,10606,10492,10430,10346,10192,10008,9800,9549,9292,9034,8784,8478,8132,7773,7410,7046,6680,6315,5930,5522,5090,4685,4278,3928,3657,3433,3197,2982,2727,2437,2149,1870,1618,1385,1171,994,826,685,567,460,367,296,230,178,135,381,27529,27728,27935,28153,28398,28676,28893,29057,30109,31409,31764,32469,32589,32659,32708,32701,32656,32515,32297,31998,31627,31227,30833,30435,30098,29839,29682,29574,29510,29433,29365,29252,29075,28894,28723,28532,28194,27744,27246,26702,26145,25661,25285,24972,24691,24442,24220,23904,23560,23154,22720,22232,21773,21359,20962,20624,20419,20302,20137,19858,19513,19110,18632,18124,17600,17068,16432,15723,14986,14264,13544,12811,12097,11347,10536,9682,8890,8090,7405,6877,6442,5983,5564,5070,4511,3955,3434,2948,2517,2120,1785,1480,1218,1002,811,643,514,397,304,231,625,982356,996577,1978933
Cabecera,6037,6134,6260,6383,6509,6646,6788,6912,7022,7344,7741,7902,8200,8291,8375,8445,8490,8516,8497,8453,8386,8283,8178,8083,7979,7905,7836,7790,7748,7707,7655,7599,7534,7478,7428,7371,7315,7194,7007,6779,6530,6288,6068,5920,5806,5711,5629,5564,5496,5432,5354,5278,5181,5085,4982,4898,4817,4766,4725,4663,4580,4473,4352,4219,4075,3922,3760,3571,3351,3123,2908,2702,2505,2342,2181,2003,1824,1657,1489,1342,1231,1142,1036,957,854,740,637,541,457,376,317,256,207,166,135,108,78,64,49,37,114,5682,5785,5902,6031,6155,6292,6430,6559,6681,7005,7388,7550,7752,7858,7952,8042,8101,8140,8151,8144,8115,8086,8051,8013,7987,7979,8000,8041,8071,8094,8104,8091,8070,8051,8051,8036,8007,7919,7755,7548,7349,7136,6967,6865,6799,6737,6671,6623,6572,6504,6425,6339,6230,6107,5992,5875,5785,5718,5677,5620,5514,5397,5260,5105,4949,4788,4636,4435,4203,3960,3713,3475,3249,3066,2867,2660,2436,2234,2029,1857,1714,1602,1476,1367,1237,1101,955,823,700,592,496,415,338,283,221,182,144,111,84,67,198,11719,11919,12162,12414,12664,12938,13218,13471,13703,14349,15129,15452,15952,16149,16327,16487,16591,16656,16648,16597,16501,16369,16229,16096,15966,15884,15836,15831,15819,15801,15759,15690,15604,15529,15479,15407,15322,15113,14762,14327,13879,13424,13035,12785,12605,12448,12300,12187,12068,11936,11779,11617,11411,11192,10974,10773,10602,10484,10402,10283,10094,9870,9612,9324,9024,8710,8396,8006,7554,7083,6621,6177,5754,5408,5048,4663,4260,3891,3518,3199,2945,2744,2512,2324,2091,1841,1592,1364,1157,968,813,671,545,449,356,290,222,175,133,104,312,480274,519599,999873
Centros Poblados y Rural Disperso,7899,7872,7862,7856,7852,7851,7862,7856,7825,8040,8317,8341,8505,8471,8425,8368,8303,8232,8137,8033,7900,7763,7608,7460,7307,7163,7038,6947,6879,6838,6812,6803,6791,6750,6709,6673,6646,6597,6565,6543,6501,6458,6409,6353,6295,6242,6205,6160,6070,5964,5837,5699,5555,5436,5336,5234,5147,5103,5081,5057,5010,4951,4872,4773,4662,4542,4416,4270,4120,3966,3815,3660,3484,3293,3086,2859,2615,2394,2169,1979,1829,1700,1577,1447,1308,1155,997,858,719,613,502,417,342,274,219,172,137,102,76,55,117,7608,7573,7564,7548,7540,7532,7537,7521,7498,7696,7946,7961,8005,7965,7906,7845,7771,7673,7557,7416,7284,7143,7020,6910,6815,6734,6684,6660,6668,6695,6717,6752,6760,6716,6640,6583,6507,6429,6364,6322,6269,6212,6163,6093,6015,5941,5875,5808,5699,5590,5464,5327,5183,5057,4956,4859,4771,4722,4698,4667,4618,4547,4472,4374,4269,4168,4065,3955,3837,3715,3594,3463,3319,3132,2942,2737,2528,2323,2118,1939,1804,1686,1569,1455,1326,1172,1031,891,767,652,543,457,378,303,256,200,156,125,96,68,175,15507,15445,15426,15404,15392,15383,15399,15377,15323,15736,16263,16302,16510,16436,16331,16213,16074,15905,15694,15449,15184,14906,14628,14370,14122,13897,13722,13607,13547,13533,13529,13555,13551,13466,13349,13256,13153,13026,12929,12865,12770,12670,12572,12446,12310,12183,12080,11968,11769,11554,11301,11026,10738,10493,10292,10093,9918,9825,9779,9724,9628,9498,9344,9147,8931,8710,8481,8225,7957,7681,7409,7123,6803,6425,6028,5596,5143,4717,4287,3918,3633,3386,3146,2902,2634,2327,2028,1749,1486,1265,1045,874,720,577,475,372,293,227,172,123,292,507393,482659,990052
Total,13936,14006,14122,14239,14361,14497,14650,14768,14847,15384,16058,16243,16705,16762,16800,16813,16793,16748,16634,16486,16286,16046,15786,15543,15286,15068,14874,14737,14627,14545,14467,14402,14325,14228,14137,14044,13961,13791,13572,13322,13031,12746,12477,12273,12101,11953,11834,11724,11566,11396,11191,10977,10736,10521,10318,10132,9964,9869,9806,9720,9590,9424,9224,8992,8737,8464,8176,7841,7471,7089,6723,6362,5989,5635,5267,4862,4439,4051,3658,3321,3060,2842,2613,2404,2162,1895,1634,1399,1176,989,819,673,549,440,354,280,215,166,125,92,231,13290,13358,13466,13579,13695,13824,13967,14080,14179,14701,15334,15511,15757,15823,15858,15887,15872,15813,15708,15560,15399,15229,15071,14923,14802,14713,14684,14701,14739,14789,14821,14843,14830,14767,14691,14619,14514,14348,14119,13870,13618,13348,13130,12958,12814,12678,12546,12431,12271,12094,11889,11666,11413,11164,10948,10734,10556,10440,10375,10287,10132,9944,9732,9479,9218,8956,8701,8390,8040,7675,7307,6938,6568,6198,5809,5397,4964,4557,4147,3796,3518,3288,3045,2822,2563,2273,1986,1714,1467,1244,1039,872,716,586,477,382,300,236,180,135,373,27226,27364,27588,27818,28056,28321,28617,28848,29026,30085,31392,31754,32462,32585,32658,32700,32665,32561,32342,32046,31685,31275,30857,30466,30088,29781,29558,29438,29366,29334,29288,29245,29155,28995,28828,28663,28475,28139,27691,27192,26649,26094,25607,25231,24915,24631,24380,24155,23837,23490,23080,22643,22149,21685,21266,20866,20520,20309,20181,20007,19722,19368,18956,18471,17955,17420,16877,16231,15511,14764,14030,13300,12557,11833,11076,10259,9403,8608,7805,7117,6578,6130,5658,5226,4725,4168,3620,3113,2643,2233,1858,1545,1265,1026,831,662,515,402,305,227,604,987667,1002258,1989925
Cabecera,5973,6058,6167,6294,6422,6555,6693,6836,6967,7074,7403,7800,7963,8252,8345,8427,8484,8511,8509,8460,8398,8299,8194,8087,7994,7907,7836,7772,7726,7681,7637,7582,7531,7493,7444,7391,7332,7259,7096,6884,6655,6408,6179,5999,5869,5762,5665,5595,5549,5491,5428,5356,5271,5161,5052,4957,4866,4778,4719,4664,4600,4508,4400,4279,4143,3996,3837,3667,3458,3230,3005,2792,2596,2424,2266,2101,1929,1747,1581,1411,1268,1160,1056,967,875,771,667,564,481,390,330,265,213,171,136,109,79,63,48,37,108,5611,5702,5804,5935,6061,6195,6330,6475,6605,6728,7056,7435,7604,7799,7909,7999,8071,8116,8130,8128,8096,8069,8030,7992,7960,7942,7940,7962,7987,8010,8036,8032,8035,8046,8056,8040,8030,7976,7847,7648,7450,7246,7049,6922,6840,6774,6705,6649,6621,6563,6498,6422,6329,6204,6070,5952,5841,5739,5669,5622,5551,5451,5326,5190,5036,4873,4716,4541,4325,4087,3837,3595,3366,3181,2989,2792,2577,2362,2157,1956,1776,1638,1514,1393,1277,1155,1008,871,740,626,526,432,356,295,228,187,149,112,86,68,194,11584,11760,11971,12229,12483,12750,13023,13311,13572,13802,14459,15235,15567,16051,16254,16426,16555,16627,16639,16588,16494,16368,16224,16079,15954,15849,15776,15734,15713,15691,15673,15614,15566,15539,15500,15431,15362,15235,14943,14532,14105,13654,13228,12921,12709,12536,12370,12244,12170,12054,11926,11778,11600,11365,11122,10909,10707,10517,10388,10286,10151,9959,9726,9469,9179,8869,8553,8208,7783,7317,6842,6387,5962,5605,5255,4893,4506,4109,3738,3367,3044,2798,2570,2360,2152,1926,1675,1435,1221,1016,856,697,569,466,364,296,228,175,134,105,302,481888,521131,1003019
Centros Poblados y Rural Disperso,7837,7797,7769,7769,7770,7768,7776,7794,7787,7766,7977,8257,8282,8456,8419,8374,8321,8250,8172,8061,7933,7800,7644,7485,7341,7185,7058,6950,6879,6833,6814,6807,6807,6781,6742,6711,6680,6674,6667,6662,6643,6600,6544,6455,6381,6314,6262,6210,6145,6043,5934,5799,5667,5532,5424,5311,5213,5128,5087,5072,5045,5001,4938,4854,4752,4640,4519,4395,4262,4113,3951,3793,3622,3416,3216,3008,2774,2531,2308,2086,1889,1732,1611,1467,1344,1206,1047,898,757,637,524,432,351,283,221,174,139,101,75,54,111,7559,7510,7486,7474,7472,7462,7465,7469,7458,7437,7634,7889,7900,7953,7910,7851,7789,7695,7581,7445,7311,7171,7043,6932,6831,6742,6671,6633,6637,6663,6698,6742,6769,6750,6682,6625,6564,6512,6475,6443,6391,6343,6271,6178,6085,6007,5938,5863,5774,5672,5558,5427,5295,5165,5049,4949,4845,4766,4717,4696,4675,4618,4552,4471,4369,4266,4158,4072,3971,3854,3734,3602,3457,3268,3085,2889,2688,2468,2264,2053,1878,1733,1619,1491,1376,1236,1095,948,815,692,579,480,400,318,266,208,163,127,98,70,171,15396,15307,15255,15243,15242,15230,15241,15263,15245,15203,15611,16146,16182,16409,16329,16225,16110,15945,15753,15506,15244,14971,14687,14417,14172,13927,13729,13583,13516,13496,13512,13549,13576,13531,13424,13336,13244,13186,13142,13105,13034,12943,12815,12633,12466,12321,12200,12073,11919,11715,11492,11226,10962,10697,10473,10260,10058,9894,9804,9768,9720,9619,9490,9325,9121,8906,8677,8467,8233,7967,7685,7395,7079,6684,6301,5897,5462,4999,4572,4139,3767,3465,3230,2958,2720,2442,2142,1846,1572,1329,1103,912,751,601,487,382,302,228,173,124,282,510896,486599,997495
Total,13810,13855,13936,14063,14192,14323,14469,14630,14754,14840,15380,16057,16245,16708,16764,16801,16805,16761,16681,16521,16331,16099,15838,15572,15335,15092,14894,14722,14605,14514,14451,14389,14338,14274,14186,14102,14012,13933,13763,13546,13298,13008,12723,12454,12250,12076,11927,11805,11694,11534,11362,11155,10938,10693,10476,10268,10079,9906,9806,9736,9645,9509,9338,9133,8895,8636,8356,8062,7720,7343,6956,6585,6218,5840,5482,5109,4703,4278,3889,3497,3157,2892,2667,2434,2219,1977,1714,1462,1238,1027,854,697,564,454,357,283,218,164,123,91,219,13170,13212,13290,13409,13533,13657,13795,13944,14063,14165,14690,15324,15504,15752,15819,15850,15860,15811,15711,15573,15407,15240,15073,14924,14791,14684,14611,14595,14624,14673,14734,14774,14804,14796,14738,14665,14594,14488,14322,14091,13841,13589,13320,13100,12925,12781,12643,12512,12395,12235,12056,11849,11624,11369,11119,10901,10686,10505,10386,10318,10226,10069,9878,9661,9405,9139,8874,8613,8296,7941,7571,7197,6823,6449,6074,5681,5265,4830,4421,4009,3654,3371,3133,2884,2653,2391,2103,1819,1555,1318,1105,912,756,613,494,395,312,239,184,138,365,26980,27067,27226,27472,27725,27980,28264,28574,28817,29005,30070,31381,31749,32460,32583,32651,32665,32572,32392,32094,31738,31339,30911,30496,30126,29776,29505,29317,29229,29187,29185,29163,29142,29070,28924,28767,28606,28421,28085,27637,27139,26597,26043,25554,25175,24857,24570,24317,24089,23769,23418,23004,22562,22062,21595,21169,20765,20411,20192,20054,19871,19578,19216,18794,18300,17775,17230,16675,16016,15284,14527,13782,13041,12289,11556,10790,9968,9108,8310,7506,6811,6263,5800,5318,4872,4368,3817,3281,2793,2345,1959,1609,1320,1067,851,678,530,403,307,229,584,992784,1007730,2000514
